model_safe,dataset,policy,total_time,status,sequence_metrics_csv,output_dir
yi_6b,long_short,hybrid,250.67,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_long_short_sched_policy_hybrid_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_long_short_sched_policy_hybrid_chunk512_qps3_n300
yi_6b,long_short,adaptive_io_aging,251.32,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_long_short_sched_policy_adaptive_io_aging_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_long_short_sched_policy_adaptive_io_aging_chunk512_qps3_n300
yi_6b,mixed,fcfs,946.47,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_mixed_sched_policy_fcfs_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_mixed_sched_policy_fcfs_chunk512_qps3_n300
yi_6b,mixed,sjf,928.01,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_mixed_sched_policy_sjf_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_mixed_sched_policy_sjf_chunk512_qps3_n300
yi_6b,mixed,ljf,953.70,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_mixed_sched_policy_ljf_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_mixed_sched_policy_ljf_chunk512_qps3_n300
yi_6b,mixed,prompt_len_sjf,892.87,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_mixed_sched_policy_prompt_len_sjf_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_mixed_sched_policy_prompt_len_sjf_chunk512_qps3_n300
yi_6b,mixed,prefill_aging_fairness,951.48,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_mixed_sched_policy_prefill_aging_fairness_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_mixed_sched_policy_prefill_aging_fairness_chunk512_qps3_n300
yi_6b,mixed,vtc_fairness,931.22,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_mixed_sched_policy_vtc_fairness_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_mixed_sched_policy_vtc_fairness_chunk512_qps3_n300
yi_6b,mixed,skip_join_mlfq,926.38,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_mixed_sched_policy_skip_join_mlfq_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_mixed_sched_policy_skip_join_mlfq_chunk512_qps3_n300
yi_6b,mixed,least_laxity_first,929.46,success,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_mixed_sched_policy_least_laxity_first_chunk512_qps3_n300/replica_0/sequence_metrics.csv,/home/sabiha/sarathi_observation2/benchmark_output/figure-1/yi_6b_mixed_sched_policy_least_laxity_first_chunk512_qps3_n300
